id,h,s,v,r,g,b,comp1,comp2,cluster
0002cd76a9f04a4ca653ef623af0946f,0.8333333333333334,0.02702702702702712,0.1450980392156863,37,36,37,47.24366955355679,115.60813623337346,1
0003d3d8e7a34205a1c7e7d91019a994,0.07142857142857137,0.15909090909090898,0.17254901960784313,44,40,37,-101.50080527086253,3.937203984357154,1
0007009db4da4f0eb26482324062d0b3,0.16666666666666666,0.022727272727272648,0.3450980392156863,88,88,86,-2.5215756370070435,-14.515573669488964,1
0011a1fc81a14821b13e07a565d041c3,0.09071729957805913,0.34955752212389385,0.8862745098039215,226,190,147,206.0152110885091,-23.521773701953546,2
00200996b8f34f55a2dd2f44d316d107,0.7765151515151515,0.55,0.3137254901960784,65,36,80,-75.06312399045984,-1.5964137958554423,1
0024ec806c6d458283ea9c9a7e0a9d9c,0.20289855072463772,0.09274193548387097,0.9725490196078432,243,248,225,306.2502938759872,63.982479195562256,1
00330ad5be9040c0b1f953dc03ba61b0,0.3333333333333333,0.04,0.19607843137254904,48,50,48,-86.22292305318949,3.3133654837759288,3
0034651f5e2b44ae892a7e8d2b3eae2b,0.09782608695652173,0.4299065420560748,0.8392156862745098,214,176,122,175.4678219110634,-44.77693039812581,2
003dc24a61984ab2aab5bca041220045,0.6054421768707483,0.4298245614035088,0.4470588235294118,65,83,114,-14.456904311529708,-0.7170840755406747,0
0040f94c8efd43639d8010874e4fefb6,0.5714285714285715,0.30882352941176466,0.26666666666666666,47,59,68,-67.7703350555191,3.4332746334104307,0
004e04df0efb497f81e44aea97a22444,0.9777777777777776,0.75,0.0784313725490196,20,5,7,-165.64761914882894,26.528011186677126,1
004e397f7012430086d9b077ec56e794,0.9803921568627452,0.26562499999999994,0.25098039215686274,64,47,49,-76.65279238039268,-8.415853811377177,3
00754d1a71b543d1ac6bb22a0f01b255,0.062499999999999924,0.19512195121951212,0.1607843137254902,41,36,33,-110.4022167163696,6.737156340883678,0
007eae3f0d934aedb32f910e941bcca9,0.039473684210526286,0.20765027322404367,0.7176470588235294,183,154,145,148.3875293355998,-26.348354784564187,1
0081af96d9884954ae51a2d51ba21fbd,0.10144927536231883,0.3150684931506849,0.28627450980392155,73,64,50,-55.148056879304676,-16.294886031072025,1
0092697eba6b4d47b6d8433145e41799,0.04166666666666652,0.03636363636363636,0.4313725490196079,110,107,106,40.70695248548385,-17.303519570663635,1
009cadedf5f14b72b7a39c3c3325d176,0.14166666666666666,0.2325581395348837,0.33725490196078434,86,83,66,-22.105231940192102,-25.65444459358099,0
009f6dd39595438fb545541f81d06469,0.9753086419753084,0.10975609756097568,0.9647058823529412,246,219,223,281.75820828058886,53.57565639674508,1
00a0a35f6fc94e35b84a39a7cf60e6b9,0.0,0.0,0.21176470588235294,54,54,54,-72.3610465575139,-0.1113273851714236,3
00b337f192584b628c51514406518f93,0.7849099099099099,0.8043478260869564,0.7215686274509804,141,36,184,72.14016693828465,-103.3462483081488,0
00bfe9c839cf4a85b161d82ca816c8db,0.08333333333333333,0.01913875598086117,0.8196078431372549,209,207,205,242.47485634769757,37.47568327461586,3
00ca17d806d04d4da2fb758629821312,0.05555555555555556,0.14634146341463414,0.1607843137254902,41,37,35,-107.2328210550243,5.5099386986882,0
00cd3dce20e1454e93f4a57305b1f58a,0.7549019607843137,0.10828025477707004,0.615686274509804,149,140,157,128.36177746597826,-9.777693562147984,2
00d23c7defd0476db1a36c08728fa60f,0.0555555555555556,0.1636363636363637,0.215686274509804,55,49,46,-80.49517061255314,-1.7534264162125404,3
00daf5abf6d44db9a310b8264ad0e834,0.6071428571428572,0.11111111111111116,0.4941176470588236,112,117,126,63.33703768982515,-16.037649320064403,3
00dc2616cba442538af927abac95625d,0.0,0.024999999999999908,0.1568627450980392,40,39,39,-105.91365920634337,7.360992565547968,1
00ec1c728bdf44a8861a23f0af9e065e,0.9743589743589745,0.10483870967741933,0.9725490196078432,248,222,226,286.21350577791407,56.19886196855594,1
00f1ad9cb17b4dd29a2b22a813d35e19,0.5952380952380952,0.09633027522935772,0.8549019607843137,197,206,218,242.58979249221733,40.83464381451017,0
00f2e4bbc5cf42b3b94abe1f49dadbf1,0.6111111111111109,0.13432835820895528,0.2627450980392157,58,61,67,-57.114476808393704,-1.0914849400117883,2
00fa5ba5223944e18fdf77a9c11c68a1,0.7083333333333331,0.10256410256410256,0.15294117647058825,36,35,39,-111.68195461407305,11.82185973595822,1
00fc7cc91b6a482993656719cad9f15d,0.0,0.008333333333333305,0.9411764705882352,240,238,238,301.40853193684916,71.9985670634709,1
0104cfe5ee3f4ed0a7235724b1378c90,0.712121212121212,0.18965517241379304,0.2274509803921569,50,47,58,-81.7889468313687,4.631201446572342,2
0109e8bb90be43f09406db314afa0665,0.013392857142857132,0.5209302325581395,0.8431372549019608,215,112,103,107.73954795563563,-63.47246779809232,2
012a226ffc7d4e2baf28931b30a60855,0.09722222222222228,0.2285714285714286,0.4117647058823529,105,95,81,9.617109699549133,-29.273357485630704,0
012ae5d60907439d88e5755e67c09f5c,0.04761904761904764,0.16666666666666655,0.16470588235294115,42,37,35,-106.26404691134329,5.251912263762661,1
012e4809a41445ca9de17286f677fabb,0.11983471074380166,0.6797752808988764,0.6980392156862745,178,144,57,97.60182473212109,-90.58896328752537,2
0131afdd92034a508c5751ab8e81255b,0.7156862745098039,0.3953488372093024,0.16862745098039214,31,26,43,-119.7541196553036,17.425747096596922,2
