uid,name,comp1,comp2,cluster,views,likes
0002cd76a9f04a4ca653ef623af0946f,GOAT-SKETCHFAB-02,-23.337575122746514,-6.983529571934917,1,2946,38
0003d3d8e7a34205a1c7e7d91019a994,Paladin Alyonushka,-18.85888527084096,11.256363059408104,1,40600,952
0007009db4da4f0eb26482324062d0b3,Shopaholic,-30.3180191219376,11.12480626460428,1,11855,148
0011a1fc81a14821b13e07a565d041c3,Hamaru,-23.285867792504444,-26.66716553664512,2,3251,144
00200996b8f34f55a2dd2f44d316d107,Pirate,-35.07034651319847,-7.336618650484501,1,2611,103
0024ec806c6d458283ea9c9a7e0a9d9c,Sexy Girl Fitness,-24.138433778856268,3.903987853866999,1,59028,406
00330ad5be9040c0b1f953dc03ba61b0,Picture,18.712987454777963,7.429821257643296,3,4266,8
0034651f5e2b44ae892a7e8d2b3eae2b,アネモネ,-16.586200626971443,-23.99643241836016,2,7392,272
003dc24a61984ab2aab5bca041220045,"Château de la Bretesche HQ, France",50.9057091183713,-19.87801709896598,0,4873,138
0040f94c8efd43639d8010874e4fefb6,Low Poly Hand Painted Dungeon Arch,13.950033637573648,-0.6462506679181436,0,6050,193
004e04df0efb497f81e44aea97a22444,Tilt Brush Deathwing World of Warcraft,-5.85642685686323,3.7075103606572894,1,2497,44
004e397f7012430086d9b077ec56e794,Lion Sculpt,-8.517350719569786,43.58048087013946,3,5472,97
00754d1a71b543d1ac6bb22a0f01b255,Petit Palais - Paris,43.628141425283495,9.748472512062584,0,5460,92
007eae3f0d934aedb32f910e941bcca9,warrior fauno,-31.283049678292173,-5.859735483843596,1,3834,134
0081af96d9884954ae51a2d51ba21fbd,Suzumiya Haruhi (Bunny Girl Outfit) Colorized,-41.46780341575404,-10.52433831931528,1,7186,166
0092697eba6b4d47b6d8433145e41799,Revenant Shiryo Helmet,-16.046100794613373,-0.3113002683833912,1,4093,5
009cadedf5f14b72b7a39c3c3325d176,Lochnagar Crater,59.483700122275074,38.13763409768562,0,12350,1
009f6dd39595438fb545541f81d06469,Marie Rose DOA,-35.36443405664117,-1.073348143777616,1,13223,131
00a0a35f6fc94e35b84a39a7cf60e6b9,"The Thinker, Auguste Rodin",-15.847612063686556,49.69373888464764,3,6598,14
00b337f192584b628c51514406518f93,Mouldering Cloak Back Bling,40.008099361553015,-0.1063092633149341,0,6797,7
00bfe9c839cf4a85b161d82ca816c8db,Venus - Giacomo Antonio Ponzanelli,16.093129933453987,37.08769672229915,3,3227,109
00ca17d806d04d4da2fb758629821312,Roman House,51.58731247897912,-20.85265670253976,0,10660,20
00cd3dce20e1454e93f4a57305b1f58a,Miraculous Ladybug model - Plagg,-29.00758962549935,-17.30764971328601,2,3703,44
00d23c7defd0476db1a36c08728fa60f,King Richard III's grave,20.478485534233272,15.970985781873036,3,104022,88
00daf5abf6d44db9a310b8264ad0e834,T-shirt,-5.265743258585633,33.67178266545698,3,6024,45
00dc2616cba442538af927abac95625d,Barbarian (Diablo 3),-12.111261475096724,-4.543781476542065,1,3295,56
00ec1c728bdf44a8861a23f0af9e065e,Monika V3,-35.648086576668014,2.051365754982108,1,10020,67
00f1ad9cb17b4dd29a2b22a813d35e19,Wooden Board Sculpture,27.507202700749424,12.10164084682964,0,4265,8
00f2e4bbc5cf42b3b94abe1f49dadbf1,Little Team fan art,-21.36699162644832,-16.15644215243696,2,5582,317
00fa5ba5223944e18fdf77a9c11c68a1,Virtual YouTuber Girl,-25.316760866746428,0.9430180902816712,1,5963,44
00fc7cc91b6a482993656719cad9f15d,Assassin,-26.03864708331409,3.5169517496702576,1,3087,26
